block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,is_mask_overlap,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,noise,-1,1,left,1,noise,-1,1,noise.wav,lion,140,lion.bmp
-1,-9,valid,1,0,left,-1,rabbit,182,4,rabbit_4.wav,rabbit,182,rabbit.bmp
-1,-8,valid,1,1,left,1,dog,73,4,dog_4.wav,dog,73,dog.bmp
-1,-7,noise,-1,1,left,0,noise,-1,1,noise.wav,tomato,236,tomato.bmp
-1,-6,noise,-1,0,right,-1,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
-1,-5,noise,-1,1,right,0,noise,-1,1,noise.wav,piano,171,piano.bmp
-1,-4,noise,-1,1,left,1,noise,-1,1,noise.wav,donkey,75,donkey.bmp
-1,-3,valid,1,1,right,0,deer,71,2,deer_2.wav,deer,71,deer.bmp
-1,-2,noise,-1,0,left,-1,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
-1,-1,noise,-1,0,left,-1,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,0,valid,1,0,left,-1,kangaroo,126,1,kangaroo_1.wav,kangaroo,126,kangaroo.bmp
0,1,valid,1,1,left,0,piano,171,2,piano_2.wav,piano,171,piano.bmp
0,2,valid,1,0,left,-1,dog,73,1,dog_1.wav,dog,73,dog.bmp
0,3,invalid,0,1,right,1,donkey,75,4,donkey_4.wav,lion,140,lion.bmp
0,4,valid,1,1,right,1,tomato,236,4,tomato_4.wav,tomato,236,tomato.bmp
0,5,noise,-1,1,left,0,noise,-1,1,noise.wav,lion,140,lion.bmp
0,6,noise,-1,0,left,-1,noise,-1,1,noise.wav,wine_glass,258,wine_glass.bmp
0,7,noise,-1,1,right,1,noise,-1,1,noise.wav,deer,71,deer.bmp
0,8,valid,1,0,right,-1,kangaroo,126,2,kangaroo_2.wav,kangaroo,126,kangaroo.bmp
0,9,noise,-1,1,right,0,noise,-1,1,noise.wav,rabbit,182,rabbit.bmp
0,10,valid,1,1,right,0,wine_glass,258,2,wine_glass_2.wav,wine_glass,258,wine_glass.bmp
0,11,invalid,0,0,left,-1,dog,73,1,dog_1.wav,gorilla,108,gorilla.bmp
0,12,valid,1,0,left,-1,lion,140,2,lion_2.wav,lion,140,lion.bmp
0,13,noise,-1,0,right,-1,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,14,noise,-1,0,left,-1,noise,-1,1,noise.wav,piano,171,piano.bmp
0,15,valid,1,0,right,-1,dog,73,1,dog_1.wav,dog,73,dog.bmp
0,16,valid,1,0,right,-1,wine_glass,258,4,wine_glass_4.wav,wine_glass,258,wine_glass.bmp
0,17,noise,-1,1,left,0,noise,-1,1,noise.wav,piano,171,piano.bmp
0,18,noise,-1,1,left,0,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,19,noise,-1,1,right,1,noise,-1,1,noise.wav,kangaroo,126,kangaroo.bmp
0,20,valid,1,0,left,-1,tomato,236,2,tomato_2.wav,tomato,236,tomato.bmp
0,21,noise,-1,0,left,-1,noise,-1,1,noise.wav,gorilla,108,gorilla.bmp
0,22,valid,1,0,right,-1,tomato,236,2,tomato_2.wav,tomato,236,tomato.bmp
0,23,invalid,0,1,left,0,piano,171,2,piano_2.wav,wine_glass,258,wine_glass.bmp
0,24,noise,-1,0,left,-1,noise,-1,1,noise.wav,tomato,236,tomato.bmp
0,25,noise,-1,1,left,0,noise,-1,1,noise.wav,deer,71,deer.bmp
