subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,1,piano,valid,nomask,pic,piano,left,left,timeout,1500.0,0
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,2,saltshaker,invalid,nomask,pic,pear,right,right,same,1077.81462354,0
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,3,kangaroo,valid,mask,word,kangaroo,left,same,left,863.51688311,0
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,4,gorilla,valid,mask,word,gorilla,right,same,same,912.190273812,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,5,apple,valid,nomask,pic,apple,left,left,left,831.910963985,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,6,raccoon,valid,mask,pic,raccoon,left,left,left,1168.68024063,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,7,bottle,invalid,mask,pic,apple,left,left,left,735.464273253,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,8,bottle,invalid,mask,pic,rabbit,left,left,left,794.1849411,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,9,giraffe,valid,nomask,pic,giraffe,left,left,left,672.954070382,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,10,donkey,valid,mask,pic,donkey,right,right,right,654.76404631,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,11,saltshaker,invalid,mask,pic,kangaroo,right,right,right,721.480860258,1
MOW113,113,2015_Nov_17_1505,LL-George,-1,practice,12,alligator,valid,mask,word,alligator,left,same,same,1009.28642537,1
MOW113,113,2015_Nov_17_1505,LL-George,0,test,14,chair,valid,nomask,pic,chair,right,right,right,584.494883369,1
MOW113,113,2015_Nov_17_1505,LL-George,0,test,15,chicken,invalid,nomask,pic,wine_glass,left,left,left,678.247704171,1
