subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,keys_pressed,response,rt,is_correct
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,1,donkey,valid,nomask,word,donkey,right,up,,timeout,1500.0,0
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,2,elephant,valid,mask,pic,elephant,left,left,left,left,719.095707231,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,3,zebra,valid,mask,pic,zebra,right,right,right,right,406.844997371,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,4,grasshopper,valid,nomask,pic,grasshopper,right,right,right,right,438.593447587,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,5,skunk,invalid,mask,pic,chicken,left,left,left,left,611.576824303,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,6,piano,valid,mask,word,piano,right,up,down,down,857.179667481,0
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,7,alligator,valid,mask,pic,alligator,right,right,right,right,464.941338694,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,8,saltshaker,invalid,nomask,pic,table,left,left,up left,left,986.573823466,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,9,apple,invalid,nomask,pic,bottle,left,left,left,left,841.402749764,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,10,strawberry,valid,nomask,pic,strawberry,right,right,right,right,590.171443415,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,11,tree,invalid,nomask,pic,wine_glass,left,left,left,left,673.956930608,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,-1,practice,12,penguin,valid,nomask,pic,penguin,left,left,left,left,387.733061536,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,14,saltshaker,valid,mask,pic,saltshaker,right,right,right,right,468.939583341,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,15,pineapple,valid,mask,pic,pineapple,right,right,right,right,527.700111474,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,16,tomato,valid,mask,pic,tomato,left,left,left,left,408.695437829,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,17,alligator,valid,mask,pic,alligator,left,left,left,left,550.290145591,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,18,saltshaker,invalid,mask,pic,dog,right,right,right,right,487.068522634,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,19,raccoon,invalid,mask,pic,rabbit,right,right,right,right,611.510245595,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,20,snowman,invalid,nomask,pic,bottle,left,left,left,left,493.571151688,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,21,chicken,valid,mask,pic,chicken,right,right,right,right,416.296615906,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,22,snowman,valid,nomask,pic,snowman,right,right,right,right,511.497474014,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,23,table,valid,mask,word,table,left,up,up,up,522.861630539,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,24,leopard,valid,mask,pic,leopard,right,right,right,right,389.833812456,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,25,rhinoceros,invalid,mask,word,pig,left,down,up,up,702.346355974,0
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,26,tomato,valid,mask,word,tomato,right,up,up,up,753.482019412,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,27,tiger,invalid,nomask,pic,gorilla,right,right,right,right,653.26631075,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,28,piano,valid,nomask,pic,piano,right,right,right,right,608.616311598,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,29,grasshopper,invalid,mask,pic,swan,left,left,left,left,721.392993437,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,30,snowman,valid,nomask,pic,snowman,right,right,right,right,467.151880468,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,31,deer,valid,nomask,pic,deer,left,left,left,left,516.896432615,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,32,kangaroo,valid,nomask,word,kangaroo,right,up,up,up,637.710575218,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,33,zebra,valid,nomask,pic,zebra,right,right,right,right,447.467623715,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,34,tree,invalid,mask,word,tomato,right,down,down,down,711.210289213,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,35,piano,invalid,nomask,word,alligator,left,down,down,down,720.014045539,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,36,raccoon,valid,nomask,pic,raccoon,left,left,left,left,714.706312603,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,37,bee,valid,nomask,pic,bee,left,left,left,left,644.005785929,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,38,alligator,valid,mask,pic,alligator,right,right,right,right,426.289826806,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,39,zebra,valid,mask,word,zebra,left,up,down,down,675.970617012,0
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,40,penguin,valid,mask,pic,penguin,right,right,right,right,564.79182464,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,41,chicken,valid,mask,pic,chicken,left,left,left,left,556.5475857,1
MOW311,311,2015_Nov_25_0958,LL-ELAINE,0,test,42,giraffe,invalid,mask,word,elephant,right,down,down,down,652.372939454,1
