subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,1,apple,valid,mask,pic,apple,right,right,right,1369.70311916,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,2,alligator,valid,mask,pic,alligator,right,right,right,637.471312191,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,3,chair,valid,mask,pic,chair,left,left,left,731.24849936,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,4,tomato,invalid,mask,pic,snowman,left,left,left,1068.99924763,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,5,donkey,valid,nomask,pic,donkey,left,left,left,1486.81113264,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,6,wine_glass,invalid,nomask,pic,kangaroo,left,left,left,884.545235895,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,7,pineapple,valid,nomask,word,pineapple,right,same,right,764.300690033,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,8,tomato,valid,nomask,pic,tomato,left,left,same,814.69327677,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,9,wine_glass,valid,mask,pic,wine_glass,right,right,same,860.33193022,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,10,dog,invalid,mask,word,grasshopper,left,different,same,1302.00790614,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,11,elephant,valid,mask,pic,elephant,right,right,right,1576.09621808,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,-1,practice,12,penguin,valid,mask,word,penguin,right,same,same,1403.12308958,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,14,elephant,invalid,nomask,pic,mouse,left,left,left,1128.43045313,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,15,tomato,valid,nomask,pic,tomato,left,left,left,900.232063141,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,16,elephant,invalid,nomask,word,lion,right,different,timeout,1500.0,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,17,pig,invalid,nomask,pic,apple,right,right,right,1092.94079989,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,18,heart,valid,mask,pic,heart,right,right,right,856.31995881,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,19,donkey,valid,nomask,pic,donkey,right,right,right,1018.06443324,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,20,heart,valid,mask,pic,heart,right,right,right,834.885009099,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,21,tree,valid,nomask,pic,tree,right,right,right,870.092345402,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,22,tiger,valid,mask,word,tiger,right,same,same,1568.36995669,1
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,23,tomato,valid,nomask,word,tomato,right,same,right,880.145639647,0
MOW108,108,2015_Nov_17_1422,LL-Kramer,0,test,24,saltshaker,valid,mask,pic,saltshaker,right,right,right,1440.39978879,1
