subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,1,heart,invalid,nomask,word,bee,right,different,different,1643.68214173,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,2,apple,valid,mask,word,apple,right,same,same,1257.4884129,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,3,piano,invalid,mask,word,leopard,left,different,different,1297.27158661,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,4,camel,invalid,mask,pic,skunk,right,right,different,863.006696163,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,5,tiger,valid,nomask,word,tiger,left,same,same,1017.08363212,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,6,camel,valid,mask,pic,camel,right,right,same,829.893795424,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,7,penguin,valid,nomask,pic,penguin,left,left,left,1257.48585223,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,8,rabbit,valid,nomask,pic,rabbit,left,left,left,641.164024884,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,9,saltshaker,valid,mask,pic,saltshaker,right,right,right,875.001280336,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,10,pineapple,valid,nomask,pic,pineapple,right,right,right,724.804427417,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,11,camel,invalid,nomask,pic,swan,right,right,timeout,1500.0,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,-1,practice,12,apple,valid,nomask,pic,apple,right,right,right,882.110391278,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,14,deer,valid,mask,word,deer,right,same,right,640.714303998,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,15,grasshopper,valid,nomask,word,grasshopper,left,same,left,710.433204484,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,16,raccoon,valid,nomask,pic,raccoon,left,left,left,573.627791135,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,17,dog,valid,mask,pic,dog,right,right,right,666.914626665,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,18,bottle,invalid,nomask,pic,swan,right,right,right,752.710488625,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,19,pig,valid,mask,pic,pig,left,left,left,571.445124457,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,20,mouse,valid,mask,word,mouse,left,same,same,710.285964829,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,21,zebra,valid,nomask,pic,zebra,right,right,right,424.0064529,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,22,apple,valid,nomask,pic,apple,left,left,left,518.779768026,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,23,bee,valid,mask,pic,bee,left,left,right,625.001920562,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,24,skunk,invalid,nomask,pic,pear,right,right,right,655.012227304,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,25,lion,valid,mask,word,lion,left,same,same,730.094809434,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,26,giraffe,invalid,nomask,pic,elephant,left,left,timeout,1500.0,0
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,27,chicken,valid,mask,pic,chicken,right,right,right,500.238784181,1
MOW111,111,2015_Nov_17_1424,LL-Jerry,0,test,28,gorilla,valid,mask,pic,gorilla,right,right,right,456.03714278,1
