subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,keys_pressed,response,rt,is_correct
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,1,bee,invalid,nomask,pic,bottle,left,left,,timeout,1500.0,0
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,2,camel,invalid,nomask,pic,strawberry,right,right,up left,left,1209.58596747,0
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,3,raccoon,valid,mask,pic,raccoon,left,left,left,left,587.577421218,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,4,snowman,invalid,mask,word,gorilla,right,down,,timeout,1500.0,0
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,5,gorilla,invalid,nomask,pic,saltshaker,right,right,right,right,1014.70608031,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,6,heart,valid,mask,pic,heart,left,left,left,left,1223.51455595,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,7,chicken,valid,nomask,pic,chicken,left,left,left,left,782.280940097,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,8,alligator,invalid,nomask,pic,leopard,left,left,down,timeout,1500.0,0
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,9,tomato,valid,nomask,pic,tomato,right,right,right,right,834.049901459,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,10,rhinoceros,valid,nomask,pic,rhinoceros,left,left,left,left,514.818750322,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,11,mouse,invalid,nomask,pic,tree,right,right,right,right,742.532849312,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,-1,practice,12,swan,valid,mask,word,swan,right,up,right,timeout,1500.0,0
MOW301,301,2015_Nov_24_1343,LL-Kramer,0,test,14,heart,valid,mask,word,heart,right,up,right up,up,1172.83421103,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,0,test,15,rabbit,invalid,mask,pic,giraffe,left,left,left,left,718.507434241,1
MOW301,301,2015_Nov_24_1343,LL-Kramer,0,test,16,elephant,valid,nomask,pic,elephant,right,right,right,right,604.131684173,1
