subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,1,table,valid,mask,pic,table,left,left,left,940.131172538,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,2,grasshopper,invalid,nomask,word,tomato,right,different,right,881.196044851,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,3,pineapple,invalid,nomask,pic,pig,right,right,different,1198.81150918,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,4,skunk,invalid,mask,pic,rabbit,right,right,different,1386.02971076,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,5,tree,valid,mask,word,tree,left,same,timeout,1500.0,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,6,elephant,valid,nomask,pic,elephant,right,right,right,1361.11685494,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,7,mouse,valid,mask,word,mouse,left,same,timeout,1500.0,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,8,penguin,valid,nomask,pic,penguin,right,right,timeout,1500.0,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,9,piano,invalid,mask,pic,lion,left,left,left,1570.07294823,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,10,alligator,invalid,nomask,pic,chair,right,right,right,806.832622038,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,11,penguin,valid,mask,word,penguin,left,same,same,1303.64933587,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,-1,practice,12,elephant,valid,nomask,pic,elephant,left,left,left,738.226962276,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,14,tomato,invalid,mask,pic,wine_glass,left,left,left,973.347780062,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,15,zebra,valid,nomask,word,zebra,right,same,right,918.528678361,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,16,snowman,valid,nomask,word,snowman,right,same,same,954.117466463,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,17,camel,valid,mask,pic,camel,right,right,right,687.872783747,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,18,pineapple,valid,mask,pic,pineapple,left,left,left,1103.64933591,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,19,piano,valid,mask,pic,piano,right,right,right,642.427491723,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,20,raccoon,invalid,nomask,pic,alligator,right,right,right,1477.18372801,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,21,tomato,invalid,nomask,pic,table,left,left,left,688.980612205,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,22,donkey,invalid,nomask,word,grasshopper,right,different,different,1071.74381334,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,23,camel,invalid,mask,word,donkey,left,different,different,921.471257694,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,24,heart,valid,nomask,pic,heart,right,right,right,659.284344874,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,25,pear,valid,nomask,word,pear,left,same,same,864.064235473,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,26,gorilla,valid,mask,word,gorilla,right,same,different,984.845380997,0
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,27,raccoon,valid,mask,pic,raccoon,right,right,right,700.189172756,1
MOW103,103,2015_Nov_16_1041,LL-ELAINE,0,test,28,rabbit,valid,mask,pic,rabbit,left,left,left,775.393149583,1
