subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,response,rt,is_correct
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,1,kangaroo,invalid,mask,pic,chicken,left,left,timeout,1500.0,0
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,2,rhinoceros,invalid,nomask,word,strawberry,left,different,timeout,1500.0,0
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,3,wine_glass,invalid,mask,pic,deer,right,right,same,956.485165487,0
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,4,rhinoceros,valid,nomask,word,rhinoceros,right,same,same,1023.20293972,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,5,raccoon,valid,nomask,pic,raccoon,right,right,right,985.493241315,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,6,skunk,valid,nomask,word,skunk,right,same,same,810.150986043,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,7,grasshopper,valid,mask,pic,grasshopper,right,right,right,1033.98738211,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,8,tomato,valid,nomask,pic,tomato,left,left,left,1227.74212342,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,9,giraffe,valid,nomask,pic,giraffe,left,left,left,833.54085777,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,10,leopard,valid,nomask,word,leopard,left,same,same,900.250629755,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,11,tree,valid,nomask,pic,tree,left,left,left,772.042776691,1
MOW102,102,2015_Nov_16_1040,LL-George,-1,practice,12,heart,invalid,mask,pic,pig,right,right,timeout,1500.0,0
MOW102,102,2015_Nov_16_1040,LL-George,0,test,14,raccoon,valid,mask,pic,raccoon,left,left,left,832.345004863,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,15,skunk,valid,mask,pic,skunk,right,right,right,901.062055666,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,16,mouse,invalid,nomask,word,bottle,left,different,different,1056.85358803,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,17,tiger,valid,nomask,word,tiger,left,same,same,1291.49843316,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,18,chicken,valid,nomask,pic,chicken,right,right,right,818.448015925,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,19,apple,invalid,mask,pic,kangaroo,left,left,different,1403.13591305,0
MOW102,102,2015_Nov_16_1040,LL-George,0,test,20,swan,valid,nomask,pic,swan,left,left,left,886.79408349,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,21,mouse,valid,nomask,pic,mouse,right,right,right,735.667209752,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,22,elephant,invalid,mask,word,bee,right,different,same,1346.59729269,0
MOW102,102,2015_Nov_16_1040,LL-George,0,test,23,mouse,valid,mask,pic,mouse,left,left,left,821.032415435,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,24,alligator,valid,nomask,pic,alligator,right,right,right,634.806170041,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,25,table,valid,mask,word,table,left,same,same,916.619026742,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,26,rabbit,valid,mask,pic,rabbit,right,right,right,764.372161211,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,27,tiger,valid,mask,pic,tiger,right,right,right,707.162954175,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,28,pear,invalid,nomask,pic,rabbit,left,left,left,807.880593959,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,29,tree,invalid,nomask,pic,grasshopper,left,left,left,687.647761137,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,30,saltshaker,valid,mask,pic,saltshaker,right,right,right,551.394148148,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,31,kangaroo,invalid,nomask,pic,chicken,right,right,right,576.181528944,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,32,rhinoceros,valid,mask,pic,rhinoceros,left,left,left,668.930230197,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,33,swan,valid,mask,pic,swan,left,left,left,645.725690032,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,34,giraffe,invalid,nomask,pic,heart,right,right,right,687.471392041,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,35,zebra,invalid,mask,pic,chicken,right,right,right,751.20049424,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,36,heart,valid,mask,pic,heart,right,right,right,600.022406259,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,37,gorilla,valid,nomask,pic,gorilla,right,right,right,729.705870122,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,38,pig,valid,mask,pic,pig,left,left,left,612.564778043,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,39,dog,valid,nomask,pic,dog,left,left,left,537.332953507,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,40,bee,invalid,mask,word,table,left,different,different,1211.62691695,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,41,heart,valid,mask,word,heart,left,same,same,1054.86583465,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,42,pig,valid,mask,pic,pig,right,right,right,644.612100004,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,43,raccoon,invalid,mask,word,rhinoceros,right,different,right,502.428195992,0
MOW102,102,2015_Nov_16_1040,LL-George,0,test,44,apple,valid,nomask,pic,apple,right,right,right,756.119303609,1
MOW102,102,2015_Nov_16_1040,LL-George,0,test,45,camel,invalid,mask,pic,tree,right,right,right,750.790460064,1
