subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,target_loc,correct_response,keys_pressed,response,rt,is_correct
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,1,apple,valid,nomask,word,apple,left,up,,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,2,lion,valid,mask,word,lion,right,up,right down,down,957.769313245,0
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,3,skunk,valid,mask,word,skunk,right,up,up,up,605.274074551,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,4,heart,valid,nomask,pic,heart,right,right,,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,5,piano,valid,mask,word,piano,left,up,left,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,6,dog,valid,mask,pic,dog,left,left,left,left,833.773346341,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,7,wine_glass,valid,mask,pic,wine_glass,left,left,left,left,762.594625732,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,8,dog,valid,nomask,pic,dog,left,left,left,left,1030.42747627,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,9,grasshopper,valid,nomask,pic,grasshopper,right,right,right,right,1197.50588159,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,10,alligator,valid,nomask,word,alligator,right,up,right up,up,978.969319651,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,11,saltshaker,valid,mask,pic,saltshaker,right,right,up right,right,1004.62845893,1
MOW302,302,2015_Nov_24_1344,LL-George,-1,practice,12,heart,valid,mask,pic,heart,right,right,right,right,822.468831509,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,14,saltshaker,valid,nomask,pic,saltshaker,left,left,left,left,733.530400263,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,15,leopard,valid,nomask,pic,leopard,right,right,right,right,760.201334764,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,16,apple,invalid,nomask,pic,strawberry,right,right,down,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,0,test,17,saltshaker,valid,nomask,pic,saltshaker,right,right,right,right,775.623769659,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,18,strawberry,valid,nomask,pic,strawberry,left,left,left,left,716.399980796,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,19,tree,invalid,mask,word,apple,right,down,down,down,946.175439705,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,20,heart,valid,nomask,pic,heart,right,right,right,right,773.954515636,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,21,kangaroo,valid,mask,pic,kangaroo,left,left,left,left,667.723060673,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,22,rabbit,valid,nomask,pic,rabbit,left,left,left,left,643.079877729,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,23,rabbit,invalid,mask,pic,penguin,left,left,,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,0,test,24,pear,valid,mask,word,pear,right,up,right up,up,1286.81977498,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,25,pineapple,valid,nomask,pic,pineapple,right,right,right,right,918.266088367,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,26,pig,valid,nomask,pic,pig,left,left,left,left,633.418049707,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,27,leopard,invalid,nomask,pic,pear,right,right,down,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,0,test,28,rhinoceros,valid,nomask,word,rhinoceros,right,up,right up,up,1255.83982843,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,29,strawberry,valid,nomask,pic,strawberry,right,right,right,right,996.640686266,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,30,snowman,valid,mask,pic,snowman,left,left,left,left,750.401869314,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,31,lion,invalid,nomask,pic,pear,left,left,left,left,1261.13983002,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,32,grasshopper,valid,mask,pic,grasshopper,right,right,right,right,964.951746879,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,33,wine_glass,invalid,mask,pic,raccoon,right,right,right,right,1011.69182018,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,34,raccoon,invalid,mask,pic,pig,left,left,left,left,718.402765546,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,35,camel,valid,mask,word,camel,left,up,left up,up,921.205127801,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,36,tomato,valid,nomask,pic,tomato,right,right,right,right,739.901093097,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,37,raccoon,invalid,nomask,pic,gorilla,right,right,right,right,1166.72470911,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,38,tiger,invalid,nomask,word,saltshaker,right,down,down,down,1298.51383576,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,39,table,valid,nomask,word,table,left,up,up,up,843.212713851,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,40,swan,valid,nomask,pic,swan,left,left,left,left,751.981819049,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,41,apple,valid,mask,word,apple,right,up,right up,up,826.82265577,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,42,saltshaker,valid,mask,pic,saltshaker,left,left,left,left,820.522382084,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,43,wine_glass,invalid,nomask,word,chair,right,down,down,down,962.331514165,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,44,leopard,valid,mask,word,leopard,right,up,up,up,854.094393668,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,45,chair,valid,mask,pic,chair,left,left,left,left,795.369620537,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,46,swan,invalid,nomask,word,alligator,right,down,down,down,904.607973367,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,47,zebra,valid,mask,pic,zebra,right,right,right,right,841.337323756,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,48,giraffe,valid,mask,pic,giraffe,right,right,right,right,818.076276744,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,49,wine_glass,valid,mask,pic,wine_glass,left,left,left,left,769.866043571,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,50,rhinoceros,valid,nomask,pic,rhinoceros,left,left,left,left,667.617752028,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,51,snowman,valid,nomask,pic,snowman,left,left,left,left,652.380647545,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,52,mouse,valid,mask,pic,mouse,left,left,left,left,600.097946648,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,53,donkey,valid,nomask,pic,donkey,right,right,right,right,693.922506922,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,54,saltshaker,valid,mask,pic,saltshaker,right,right,right,right,583.660835749,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,55,pig,valid,nomask,pic,pig,left,left,left,left,608.771985979,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,56,donkey,valid,nomask,pic,donkey,right,right,right,right,595.876958527,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,57,dog,valid,nomask,pic,dog,left,left,left,left,569.916297231,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,58,snowman,invalid,mask,pic,pig,right,right,right,right,794.736808413,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,59,leopard,valid,nomask,pic,leopard,left,left,left,left,662.497319281,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,60,pineapple,valid,nomask,word,pineapple,right,up,up,up,850.589440321,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,61,giraffe,valid,nomask,pic,giraffe,left,left,left,left,560.070739244,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,62,deer,valid,nomask,pic,deer,right,right,right,right,1132.26669654,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,63,tree,valid,mask,word,tree,right,up,up,up,747.567818442,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,64,bottle,valid,mask,pic,bottle,left,left,left,left,713.314021414,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,65,grasshopper,invalid,mask,pic,tiger,left,left,left,left,858.052910393,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,66,chicken,valid,mask,word,chicken,left,up,up,up,1097.86341885,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,67,table,invalid,mask,word,apple,left,down,down,down,852.649520661,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,68,giraffe,valid,mask,pic,giraffe,right,right,right,right,635.379223153,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,69,snowman,invalid,mask,pic,rhinoceros,left,left,left,left,645.080101778,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,70,zebra,invalid,mask,pic,bee,right,right,right,right,1141.86770802,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,71,bottle,valid,nomask,pic,bottle,left,left,left,left,930.726117513,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,72,strawberry,valid,mask,pic,strawberry,left,left,left,left,691.266104375,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,73,dog,invalid,mask,pic,lion,right,right,right,right,984.246595064,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,74,swan,valid,nomask,pic,swan,right,right,right,right,1131.98630027,1
MOW302,302,2015_Nov_24_1344,LL-George,0,test,75,wine_glass,valid,mask,word,wine_glass,left,up,,timeout,1500.0,0
MOW302,302,2015_Nov_24_1344,LL-George,1,test,77,skunk,valid,mask,word,skunk,left,up,down,down,742.094649744,0
MOW302,302,2015_Nov_24_1344,LL-George,1,test,78,rhinoceros,valid,nomask,word,rhinoceros,left,up,up,up,709.850999468,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,79,chair,valid,mask,pic,chair,left,left,left,left,713.58193428,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,80,wine_glass,valid,mask,word,wine_glass,right,up,up,up,554.305331054,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,81,apple,valid,nomask,pic,apple,right,right,right,right,1021.14047021,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,82,pineapple,invalid,nomask,pic,donkey,left,left,left,left,619.869724571,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,83,tree,valid,nomask,pic,tree,left,left,left,left,703.660835759,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,84,table,invalid,nomask,word,snowman,right,down,down,down,888.364195067,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,85,camel,valid,nomask,word,camel,left,up,up,up,786.124865961,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,86,leopard,invalid,nomask,pic,pear,left,left,left,left,676.652529481,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,87,mouse,valid,nomask,pic,mouse,left,left,left,left,637.739545156,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,88,skunk,valid,nomask,pic,skunk,left,left,left,left,784.466814963,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,89,swan,invalid,mask,pic,zebra,right,right,right,right,721.23777667,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,90,alligator,valid,mask,pic,alligator,right,right,right,right,983.983483515,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,91,chair,valid,nomask,pic,chair,left,left,left,left,564.769297256,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,92,gorilla,valid,mask,pic,gorilla,right,right,up right,right,1167.51980539,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,93,pig,invalid,nomask,pic,zebra,right,right,right,right,691.968375409,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,94,leopard,valid,mask,word,leopard,left,up,up,up,764.106717019,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,95,chair,valid,mask,pic,chair,right,right,right,right,713.815597846,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,96,elephant,valid,nomask,word,elephant,right,up,up,up,604.585567271,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,97,skunk,valid,mask,pic,skunk,left,left,left,left,738.379719289,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,98,dog,valid,nomask,pic,dog,left,left,left,left,568.099483062,1
MOW302,302,2015_Nov_24_1344,LL-George,1,test,99,rabbit,valid,mask,pic,rabbit,left,left,left,left,487.89302689,1
