block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,is_mask_overlap,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,noise,-1,1,right,0,noise,-1,1,noise.wav,pineapple,173,pineapple.bmp
-1,-9,noise,-1,0,left,-1,noise,-1,1,noise.wav,leopard,136,leopard.bmp
-1,-8,noise,-1,0,right,-1,noise,-1,1,noise.wav,camel,43,camel.bmp
-1,-7,noise,-1,0,right,-1,noise,-1,1,noise.wav,mouse,149,mouse.bmp
-1,-6,noise,-1,0,right,-1,noise,-1,1,noise.wav,skunk,206,skunk.bmp
-1,-5,noise,-1,0,left,-1,noise,-1,1,noise.wav,apple,6,apple.bmp
-1,-4,valid,1,0,left,-1,wine_glass,258,4,wine_glass_4.wav,wine_glass,258,wine_glass.bmp
-1,-3,valid,1,0,right,-1,pig,172,1,pig_1.wav,pig,172,pig.bmp
-1,-2,noise,-1,0,right,-1,noise,-1,1,noise.wav,bottle,32,bottle.bmp
-1,-1,valid,1,0,right,-1,penguin,169,3,penguin_3.wav,penguin,169,penguin.bmp
0,0,noise,-1,0,right,-1,noise,-1,1,noise.wav,skunk,206,skunk.bmp
0,1,invalid,0,1,right,1,apple,6,4,apple_4.wav,leopard,136,leopard.bmp
0,2,noise,-1,1,right,1,noise,-1,1,noise.wav,mouse,149,mouse.bmp
0,3,invalid,0,1,right,0,bottle,32,3,bottle_3.wav,skunk,206,skunk.bmp
0,4,noise,-1,0,right,-1,noise,-1,1,noise.wav,mouse,149,mouse.bmp
0,5,noise,-1,0,left,-1,noise,-1,1,noise.wav,pig,172,pig.bmp
0,6,valid,1,0,left,-1,penguin,169,4,penguin_4.wav,penguin,169,penguin.bmp
0,7,valid,1,1,right,1,apple,6,4,apple_4.wav,apple,6,apple.bmp
0,8,valid,1,0,right,-1,wine_glass,258,4,wine_glass_4.wav,wine_glass,258,wine_glass.bmp
0,9,noise,-1,0,right,-1,noise,-1,1,noise.wav,apple,6,apple.bmp
0,10,noise,-1,1,right,0,noise,-1,1,noise.wav,skunk,206,skunk.bmp
0,11,valid,1,0,right,-1,bottle,32,4,bottle_4.wav,bottle,32,bottle.bmp
0,12,valid,1,0,right,-1,apple,6,1,apple_1.wav,apple,6,apple.bmp
0,13,invalid,0,1,right,0,wine_glass,258,4,wine_glass_4.wav,penguin,169,penguin.bmp
0,14,noise,-1,1,left,1,noise,-1,1,noise.wav,camel,43,camel.bmp
