,category,type,id,question
0,alligator,nonvisual,1,Is it an animal?
1,alligator,nonvisual,2,Is it a reptile?
2,alligator,nonvisual,3,Does it live in swamps?
3,alligator,nonvisual,4,Does it live in water?
4,alligator,nonvisual,5,Does it eat people?
5,alligator,visual,1,Is it green?
6,alligator,visual,2,Is it long?
7,alligator,visual,3,Does it have scales?
8,alligator,visual,4,Does it have a tail?
9,alligator,visual,5,Does it have jaws?
10,apple,nonvisual,1,Is it a fruit?
11,apple,nonvisual,2,Does it grow on trees?
12,apple,nonvisual,3,Is it eaten in pies?
13,apple,nonvisual,4,Is it nutritious?
14,apple,nonvisual,5,Is it used for cider?
15,apple,visual,1,Is it red?
16,apple,visual,2,Is it green?
17,apple,visual,3,Does it have seeds?
18,apple,visual,4,Is it round?
19,apple,visual,5,Does it have a core?
20,banana,nonvisual,1,Is it a fruit?
21,banana,nonvisual,2,Does it taste good?
22,banana,nonvisual,3,Does it grow in tropical climates?
23,banana,nonvisual,4,Is it healthy?
24,banana,visual,1,Is it yellow?
25,banana,visual,2,Is it long?
26,banana,visual,3,Does it have a peel?
27,banana,visual,4,Does it have a skin?
28,bike,nonvisual,1,Is is used for riding?
29,bike,nonvisual,2,Is it used for racing?
30,bike,nonvisual,3,Does it have different speeds?
31,bike,nonvisual,4,Is it fast?
32,bike,visual,1,Does it have handle bars?
33,bike,visual,2,Does it have a seat?
34,bike,visual,3,Does it have gears?
35,bike,visual,4,Is it made of metal?
36,bottle,nonvisual,1,Is it used for holding things?
37,bottle,nonvisual,2,Is it used for holding liquids?
38,bottle,nonvisual,3,Is it a container?
39,bottle,nonvisual,4,Is it breakable?
40,bottle,nonvisual,5,Is it used for holding beer?
41,bottle,visual,1,Is it made of glass?
42,bottle,visual,2,Is it made of plastic?
43,bottle,visual,3,Does it have a lid?
44,bottle,visual,4,Does it have a neck?
45,bottle,visual,5,Does it have a cork?
46,camel,nonvisual,1,Does it live in the desert?
47,camel,nonvisual,2,Does it drink water?
48,camel,nonvisual,3,Is it used by riding?
49,camel,nonvisual,4,Is it a mammal?
50,camel,nonvisual,5,Does it spit?
51,camel,visual,1,Does it have a hump?
52,camel,visual,2,Is it brown?
53,camel,visual,3,Does it have legs?
54,camel,visual,4,Is it large?
55,camel,visual,5,Is it beige?
56,carrot,nonvisual,1,Is it a vegetable?
57,carrot,nonvisual,2,Is it eaten by rabbits?
58,carrot,nonvisual,3,Does it grow underground?
