"subj_id","block_ix","trial_ix","cue","cue_type","mask_type","pic","up_pic","response","rt","is_correct","cue_L","cue_Q","mask_C"
"MWP201",0,0,"gorilla","valid","nomask","gorilla","right","right",380.708565761,1,-0.5,-0.333,-0.5
"MWP201",0,1,"noise","noise","nomask","lightbulb","left","right",NA,0,0,0.667,-0.5
"MWP201",0,2,"heart","valid","mask","heart","left","left",334.143599612,1,-0.5,-0.333,0.5
"MWP201",0,3,"noise","noise","nomask","camel","left","left",472.052636906,1,0,0.667,-0.5
"MWP201",0,4,"noise","noise","mask","heart","left","right",NA,0,0,0.667,0.5
"MWP201",0,5,"noise","noise","nomask","mouse","left","left",332.018502755,1,0,0.667,-0.5
"MWP201",0,6,"lightbulb","valid","mask","lightbulb","right","right",614.091770636,1,-0.5,-0.333,0.5
"MWP201",0,7,"deer","valid","mask","deer","left","left",351.83259382,1,-0.5,-0.333,0.5
"MWP201",0,8,"pear","valid","nomask","pear","left","right",NA,0,-0.5,-0.333,-0.5
"MWP201",0,9,"noise","noise","mask","chicken","left","left",702.417814318,1,0,0.667,0.5
"MWP201",0,10,"camel","valid","mask","camel","left","left",385.089774616,1,-0.5,-0.333,0.5
"MWP201",0,11,"tiger","valid","nomask","tiger","right","right",566.004533262,1,-0.5,-0.333,-0.5
"MWP201",0,12,"camel","valid","mask","camel","left","left",432.673227566,1,-0.5,-0.333,0.5
"MWP201",0,13,"mouse","valid","mask","mouse","right","right",529.196686111,1,-0.5,-0.333,0.5
"MWP201",0,14,"camel","invalid","mask","piano","left","left",587.678571494,1,0.5,-0.333,0.5
"MWP201",0,15,"lightbulb","valid","nomask","lightbulb","right","right",380.782261782,1,-0.5,-0.333,-0.5
"MWP201",0,16,"noise","noise","mask","deer","right","right",448.641868134,1,0,0.667,0.5
"MWP201",0,17,"chicken","valid","nomask","chicken","left","left",314.389167237,1,-0.5,-0.333,-0.5
"MWP201",0,18,"gorilla","valid","mask","gorilla","right","right",566.174541047,1,-0.5,-0.333,0.5
"MWP201",0,19,"noise","noise","nomask","pear","right","right",617.381186632,1,0,0.667,-0.5
"MWP201",0,20,"camel","valid","nomask","camel","right","right",422.871267103,1,-0.5,-0.333,-0.5
"MWP201",0,21,"chicken","invalid","nomask","gorilla","left","left",509.320596786,1,0.5,-0.333,-0.5
"MWP201",0,22,"noise","noise","nomask","chicken","right","right",456.617805059,1,0,0.667,-0.5
"MWP201",0,23,"camel","valid","nomask","camel","left","left",393.8385449,1,-0.5,-0.333,-0.5
"MWP201",0,24,"deer","valid","nomask","deer","left","left",374.458051549,1,-0.5,-0.333,-0.5
"MWP201",0,25,"noise","noise","mask","piano","left","left",513.555583369,1,0,0.667,0.5
"MWP201",0,26,"noise","noise","mask","pear","right","right",517.275867576,1,0,0.667,0.5
"MWP201",0,27,"heart","valid","nomask","heart","right","right",549.782050861,1,-0.5,-0.333,-0.5
"MWP201",0,28,"noise","noise","nomask","deer","left","left",545.274895907,1,0,0.667,-0.5
"MWP201",0,29,"noise","noise","nomask","heart","left","right",NA,0,0,0.667,-0.5
"MWP201",0,30,"noise","noise","mask","lightbulb","left","right",NA,0,0,0.667,0.5
"MWP201",0,31,"noise","noise","mask","tiger","left","left",363.572486647,1,0,0.667,0.5
"MWP201",0,32,"noise","noise","nomask","chicken","left","left",344.036802766,1,0,0.667,-0.5
"MWP201",0,33,"noise","noise","nomask","gorilla","left","left",371.549983247,1,0,0.667,-0.5
"MWP201",0,34,"noise","noise","mask","heart","right","right",607.140949287,1,0,0.667,0.5
"MWP201",0,35,"noise","noise","nomask","gorilla","left","left",314.559564926,1,0,0.667,-0.5
"MWP201",0,36,"noise","noise","mask","piano","left","left",349.879454385,1,0,0.667,0.5
"MWP201",0,37,"noise","noise","mask","gorilla","right","right",521.956929559,1,0,0.667,0.5
"MWP201",0,38,"noise","noise","mask","deer","left","left",388.937174721,1,0,0.667,0.5
"MWP201",0,39,"noise","noise","nomask","lightbulb","right","right",392.502658302,1,0,0.667,-0.5
"MWP201",0,40,"noise","noise","mask","camel","left","left",316.121998505,1,0,0.667,0.5
"MWP201",0,41,"noise","noise","mask","tiger","right","right",431.155245547,1,0,0.667,0.5
