CONCEPT	rope	ruler	sack	saddle	sailboat	salamander	salmon	sandals	sandpaper	sardine	saucer	saxophone	scarf	scissors	scooter	screwdriver	screws	seagull	seal	seaweed	shack	shawl	shed	sheep	shell	shelves	shield	ship	shirt	shoes	shotgun	shovel	shrimp	sink	skateboard	skillet	skirt	skis	skunk	skyscraper	sled	sledgehammer	sleigh	slingshot	slippers	snail	socks	sofa	spade	sparrow	spatula	spear	spider	spinach	spoon	squid	squirrel	starling	stereo	stick	stone	stool_(furniture)	stork	stove	strainer	strawberry	submarine	subway	surfboard	swan	sweater	swimsuit	sword	table	tack	tangerine	tank_(army)	tank_(container)	tap	tape_(scotch)	taxi	telephone	tent	thermometer	thimble	tie	tiger	toad	toaster	toilet	tomahawk	tomato	tongs	tortoise	toy	tractor	trailer	train	tray	tricycle	tripod	trolley	trombone	trousers	trout	truck	trumpet	tuba	tuna	turkey	turnip	turtle	typewriter	umbrella	unicycle	urn	van	veil	vest	vine	violin	vulture	wagon	wall	walnut	walrus	wand	wasp	whale	wheel	wheelbarrow	whip	whistle	willow	woodpecker	worm	wrench	yacht	yam	zebra	zucchini
accordion	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.000	0.020	0.000	0.000	0.000	0.000	0.508	0.042	0.000	0.000	0.463	0.487	0.000	0.000	0.000	0.000	0.204	0.000	0.000	0.000	0.000	0.000	0.075	0.000	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000
airplane	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.060	0.183	0.039	0.069	0.336	0.023	0.000	0.024	0.000	0.020	0.000	0.000	0.030	0.123	0.205	0.000	0.000	0.067	0.034	0.035	0.023	0.087	0.048	0.000	0.000	0.000	0.020	0.059	0.102	0.100	0.000	0.000	0.000	0.000	0.000	0.064	0.367	0.049	0.000	0.017	0.000	0.052	0.000	0.049	0.337	0.000	0.000	0.000	0.038	0.254	0.018	0.072	0.000	0.175	0.295	0.000	0.121	0.000	0.000	0.045	0.000	0.046	0.000	0.135	0.116	0.070	0.000	0.166	0.000	0.000	0.000	0.077	0.000	0.021	0.000	0.034	0.000	0.000	0.000	0.116	0.020	0.000	0.078	0.034	0.291	0.047	0.061	0.050	0.151	0.035	0.000	0.000	0.117	0.032	0.099	0.030	0.103	0.000	0.000	0.028	0.075	0.038	0.038	0.156	0.000	0.000	0.000	0.000	0.247	0.044	0.000	0.000	0.086	0.000	0.374	0.106	0.019	0.083	0.000	0.075	0.040	0.306	0.000	0.089	0.106	0.000	0.000	0.000
alligator	0.128	0.028	0.000	0.000	0.000	0.278	0.186	0.000	0.000	0.058	0.000	0.000	0.097	0.021	0.000	0.035	0.000	0.000	0.229	0.266	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.130	0.000	0.049	0.000	0.114	0.113	0.166	0.000	0.000	0.039	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.083	0.052	0.109	0.000	0.246	0.000	0.128	0.190	0.000	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.165	0.038	0.000	0.000	0.101	0.000	0.000	0.000	0.140	0.000	0.000	0.038	0.000	0.000	0.000	0.053	0.000	0.047	0.257	0.269	0.000	0.000	0.000	0.088	0.057	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.232	0.000	0.000	0.000	0.073	0.045	0.000	0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.312	0.000	0.034	0.000	0.000	0.000	0.362	0.176	0.017	0.140	0.000	0.000	0.136	0.000	0.147	0.047	0.169	0.000	0.000	0.000	0.151	0.293
ambulance	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.000	0.122	0.016	0.000	0.000	0.000	0.000	0.116	0.000	0.000	0.017	0.072	0.000	0.000	0.040	0.000	0.096	0.000	0.126	0.000	0.000	0.000	0.153	0.013	0.051	0.013	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.067	0.000	0.019	0.000	0.000	0.000	0.111	0.000	0.000	0.079	0.066	0.185	0.000	0.172	0.000	0.000	0.000	0.000	0.000	0.049	0.054	0.032	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.113	0.000	0.082	0.000	0.013	0.000	0.073	0.023	0.144	0.000	0.059	0.000	0.058	0.050	0.000	0.000	0.160	0.045	0.084	0.020	0.029	0.073	0.000	0.000	0.021	0.017	0.000	0.159	0.099	0.000	0.000	0.000	0.024	0.101	0.000	0.000	0.057	0.000	0.000	0.070	0.000	0.013	0.000	0.029	0.027	0.010	0.000	0.000	0.064	0.037	0.108	0.000
anchor	0.000	0.000	0.000	0.069	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.112	0.000	0.164	0.069	0.106	0.187	0.000	0.018	0.000	0.066	0.000	0.053	0.000	0.000	0.082	0.284	0.055	0.000	0.000	0.182	0.093	0.027	0.062	0.000	0.154	0.000	0.000	0.000	0.015	0.061	0.541	0.082	0.000	0.000	0.000	0.000	0.000	0.172	0.000	0.134	0.000	0.013	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.109	0.102	0.020	0.049	0.194	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.123	0.000	0.125	0.000	0.275	0.220	0.189	0.000	0.000	0.000	0.000	0.000	0.208	0.000	0.016	0.000	0.091	0.000	0.000	0.000	0.313	0.015	0.000	0.113	0.026	0.064	0.126	0.083	0.136	0.140	0.027	0.000	0.000	0.115	0.086	0.197	0.023	0.034	0.000	0.000	0.157	0.141	0.000	0.102	0.043	0.000	0.000	0.000	0.000	0.028	0.044	0.000	0.000	0.067	0.000	0.000	0.082	0.052	0.141	0.000	0.202	0.031	0.000	0.000	0.318	0.061	0.000	0.000	0.000
ant	0.079	0.000	0.000	0.000	0.064	0.233	0.000	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.065	0.000	0.084	0.000	0.000	0.000	0.174	0.000	0.121	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	0.000	0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.123	0.000	0.000	0.136	0.130	0.000	0.000	0.348	0.000	0.000	0.000	0.110	0.152	0.000	0.000	0.070	0.097	0.000	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.178	0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.076	0.073	0.000	0.000	0.000	0.119	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.157	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.070	0.000	0.055	0.000	0.073	0.361	0.000	0.000	0.000	0.073	0.147	0.000	0.000	0.193	0.000	0.000	0.000	0.144	0.000
apartment	0.000	0.000	0.000	0.000	0.033	0.122	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	0.034	0.000	0.044	0.000	0.000	0.000	0.091	0.000	0.063	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.000	0.000	0.000	0.025	0.073	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.068	0.000	0.000	0.056	0.000	0.000	0.000	0.057	0.052	0.000	0.000	0.037	0.051	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.061	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.029	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000
apple	0.000	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.039	0.000	0.000	0.025	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.469	0.109	0.000	0.000	0.000	0.072	0.000	0.000	0.019	0.000	0.000	0.000	0.133	0.000	0.000	0.000	0.644	0.000	0.082	0.000	0.069	0.000	0.000	0.021	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.091	0.000	0.026	0.000	0.036	0.000	0.000	0.000	0.167	0.000	0.000	0.145	0.000	0.153	0.000	0.028	0.040	0.000	0.088	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.080	0.000	0.203
apron	0.058	0.013	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.140	0.000	0.000	0.016	0.000	0.000	0.000	0.016	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.110	0.000	0.000	0.000	0.000	0.022	0.290	0.130	0.051	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.222	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.331	0.097	0.000	0.000	0.000	0.075	0.000	0.045	0.027	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.024	0.185	0.090	0.000	0.000	0.288	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.044	0.134	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.062	0.000	0.026	0.000	0.077	0.000	0.000	0.000	0.000	0.040
armour	0.029	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.135	0.000	0.167	0.070	0.108	0.190	0.000	0.000	0.000	0.067	0.000	0.054	0.000	0.000	0.084	0.325	0.000	0.000	0.142	0.186	0.094	0.000	0.063	0.000	0.133	0.000	0.000	0.000	0.000	0.062	0.374	0.084	0.000	0.000	0.000	0.000	0.000	0.175	0.000	0.136	0.000	0.000	0.000	0.173	0.000	0.000	0.000	0.000	0.000	0.053	0.104	0.000	0.050	0.197	0.000	0.155	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.167	0.000	0.179	0.185	0.193	0.000	0.000	0.000	0.000	0.000	0.468	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.319	0.000	0.000	0.075	0.000	0.065	0.128	0.084	0.139	0.111	0.000	0.000	0.000	0.026	0.121	0.096	0.000	0.000	0.000	0.000	0.140	0.119	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.144	0.000	0.206	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.000
