CONCEPT	accordion	airplane	alligator	ambulance	anchor	ant	apartment	apple	apron	armour	ashtray	asparagus	avocado	axe	bag	bagpipe	ball	balloon	banana	banjo	banner	barn	barrel	basement	basket	bat_(animal)	bat_(baseball)	bathtub	baton	bayonet	bazooka	beans	bear	beaver	bed	bedroom	beehive	beetle	beets	belt	bench	bike	bin_(waste)	birch	biscuit	bison	blackbird	blender	blouse	blueberry	bluejay	board_(black)	board_(wood)	boat	bolts	bomb	book	bookcase	boots	bottle	bouquet	bow_(ribbon)	bow_(weapon)	bowl	box	bra	bracelet	bread	brick	bridge	broccoli	broom	brush	bucket	buckle	budgie	buffalo	buggy	building	bull	bullet	bungalow	bureau	bus	butterfly	buzzard	cabbage	cabin	cabinet	cage	cake	calf	camel	camisole	canary	candle	cannon	canoe	cantaloupe	cap_(bottle)	cap_(hat)	cape	car	card_(greeting)	caribou	carpet	carrot	cart	cat	catapult	caterpillar	catfish	cathedral	cauliflower	cedar	celery	cellar	cello	certificate	chain	chair	chandelier	chapel	cheese	cheetah	cherry	chickadee	chicken	chimp	chipmunk	chisel	church	cigar	cigarette	clam	clamp	clarinet	cloak	clock	closet	coat	cockroach	coconut	cod	coin	colander	comb	cork	corkscrew	corn	cottage	couch	cougar	cow	coyote	crab	cranberry	crane_(machine)	crayon	crocodile	crossbow	crow	crowbar	crown	cucumber	cup	cupboard	curtains	cushion	dagger	dandelion	deer	desk	dish	dishwasher	dog	doll	dolphin	donkey	door	doorknob	dove	drain	drapes	dress	dresser	drill	drum	duck	dunebuggy	eagle	earmuffs	eel	eggplant	elephant	elevator	elk	emerald	emu	envelope
accordion	1.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.561	0.000	0.099	0.000	0.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.458	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000
airplane	0.000	1.000	0.000	0.131	0.115	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.039	0.039	0.033	0.000	0.000	0.443	0.075	0.028	0.059	0.000	0.086	0.000	0.083	0.000	0.000	0.000	0.000	0.304	0.000	0.000	0.035	0.102	0.120	0.000	0.000	0.088	0.407	0.000	0.000	0.000	0.333	0.020	0.000	0.094	0.089	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.028	0.000	0.000	0.093	0.000	0.000	0.035	0.065	0.108	0.111	0.080	0.096	0.072	0.075	0.139	0.000	0.019	0.285	0.452	0.232	0.000	0.000	0.000	0.110	0.000	0.000	0.043	0.000	0.203	0.000	0.055	0.030	0.000	0.069	0.000	0.000	0.204	0.000	0.078	0.000	0.000	0.047	0.000	0.033	0.000	0.000	0.084	0.000	0.000	0.000	0.000	0.057	0.000	0.097	0.000	0.000	0.000	0.000	0.117	0.000	0.277	0.148	0.000	0.049	0.082	0.025	0.022	0.000	0.000	0.071	0.035	0.000	0.000	0.000	0.000	0.139	0.000	0.000	0.088	0.088	0.026	0.000	0.116	0.000	0.000	0.018	0.150	0.054	0.000	0.000	0.000	0.161	0.000	0.043	0.000	0.201	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.000	0.070	0.042	0.000	0.028	0.000	0.000	0.000	0.000	0.070	0.051	0.354	0.026	0.000	0.000	0.023	0.024	0.024	0.156	0.082	0.328	0.000	0.000	0.000	0.088	0.092	0.065	0.000	0.034	0.000
alligator	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.129	0.041	0.000	0.000	0.331	0.237	0.019	0.000	0.000	0.000	0.000	0.111	0.000	0.086	0.000	0.000	0.020	0.000	0.087	0.115	0.000	0.146	0.136	0.032	0.195	0.205	0.270	0.000	0.000	0.032	0.000	0.000	0.051	0.069	0.000	0.000	0.000	0.000	0.176	0.062	0.000	0.000	0.000	0.046	0.210	0.103	0.000	0.000	0.031	0.000	0.000	0.041	0.050	0.000	0.055	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.236	0.099	0.000	0.000	0.000	0.040	0.166	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.185	0.000	0.000	0.000	0.000	0.159	0.115	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.139	0.000	0.000	0.169	0.000	0.044	0.000	0.186	0.000	0.089	0.207	0.000	0.000	0.064	0.251	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.139	0.000	0.083	0.080	0.166	0.165	0.000	0.000	0.035	0.000	0.134	0.000	0.057	0.156	0.000	0.000	0.062	0.000	0.000	0.150	0.000	0.000	0.269	0.000	0.000	0.000	0.000	0.000	0.264	0.114	0.263	0.102	0.000	0.000	0.000	0.822	0.015	0.000	0.070	0.000	0.246	0.000	0.000	0.032	0.000	0.015	0.000	0.164	0.000	0.000	0.000	0.157	0.000	0.132	0.204	0.000	0.000	0.000	0.000	0.046	0.080	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.297	0.000	0.132	0.000	0.181	0.227	0.106	0.000
ambulance	0.016	0.131	0.000	1.000	0.017	0.038	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.017	0.000	0.000	0.026	0.058	0.022	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.045	0.000	0.116	0.000	0.000	0.000	0.000	0.017	0.070	0.000	0.000	0.059	0.017	0.177	0.000	0.059	0.000	0.028	0.000	0.000	0.000	0.014	0.000	0.042	0.000	0.015	0.000	0.013	0.000	0.000	0.000	0.044	0.000	0.000	0.019	0.061	0.000	0.138	0.058	0.021	0.000	0.000	0.000	0.000	0.000	0.010	0.053	0.079	0.029	0.050	0.116	0.000	0.013	0.122	0.000	0.023	0.035	0.000	0.000	0.000	0.000	0.000	0.023	0.086	0.000	0.000	0.044	0.013	0.024	0.000	0.000	0.000	0.201	0.000	0.070	0.000	0.050	0.041	0.000	0.022	0.000	0.000	0.056	0.193	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.101	0.160	0.075	0.000	0.011	0.000	0.123	0.000	0.016	0.014	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.191	0.106	0.000	0.064	0.082	0.057	0.000	0.029	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.016	0.037	0.035	0.000	0.218	0.023	0.000	0.000	0.000	0.058	0.028	0.068	0.000	0.023	0.128
anchor	0.000	0.115	0.000	0.017	1.000	0.000	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.020	0.000	0.000	0.030	0.030	0.025	0.000	0.000	0.000	0.268	0.022	0.160	0.000	0.161	0.000	0.064	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.093	0.047	0.276	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.240	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.075	0.000	0.265	0.189	0.000	0.000	0.094	0.175	0.291	0.000	0.062	0.093	0.109	0.058	0.147	0.000	0.079	0.023	0.000	0.026	0.000	0.000	0.000	0.297	0.000	0.000	0.015	0.000	0.000	0.000	0.278	0.000	0.000	0.187	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.089	0.000	0.026	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.044	0.000	0.264	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.221	0.019	0.017	0.000	0.000	0.192	0.094	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.238	0.238	0.070	0.000	0.315	0.000	0.000	0.064	0.016	0.042	0.000	0.000	0.000	0.379	0.000	0.033	0.000	0.023	0.496	0.074	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.114	0.000	0.077	0.000	0.000	0.000	0.000	0.190	0.139	0.000	0.072	0.069	0.000	0.062	0.065	0.066	0.000	0.000	0.027	0.000	0.000	0.000	0.068	0.079	0.023	0.000	0.026	0.000
ant	0.000	0.000	0.000	0.038	0.000	1.000	0.115	0.113	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.075	0.108	0.000	0.000	0.053	0.000	0.508	0.102	0.000	0.000	0.000	0.064	0.000	0.118	0.000	0.092	0.000	0.000	0.145	0.045	0.210	0.000	0.073	0.094	0.000	0.000	0.000	0.045	0.000	0.000	0.064	0.000	0.000	0.073	0.039	0.000	0.000	0.084	0.052	0.000	0.000	0.000	0.000	0.087	0.082	0.000	0.000	0.000	0.000	0.112	0.191	0.000	0.000	0.271	0.092	0.000	0.112	0.000	0.071	0.000	0.120	0.000	0.000	0.113	0.000	0.102	0.000	0.000	0.178	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.304	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.221	0.255	0.000	0.000	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.112	0.152	0.000	0.091	0.000	0.471	0.000	0.000	0.088	0.000	0.067	0.000	0.000	0.000	0.272	0.000	0.000	0.072	0.000	0.176	0.198	0.000	0.000	0.000	0.000	0.226	0.061	0.000	0.000	0.000	0.000	0.000	0.061	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
apartment	0.000	0.000	0.000	0.000	0.000	0.115	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.027	0.000	0.035	0.000	0.000	0.000	0.000	0.034	0.000	0.062	0.000	0.000	0.000	0.000	0.075	0.024	0.000	0.000	0.038	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.046	0.043	0.000	0.000	0.108	0.000	0.058	0.328	0.000	0.018	0.036	0.000	0.000	0.058	0.000	0.037	0.000	0.063	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.102	0.000	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.045	0.000	0.000	0.046	0.000	0.035	0.000	0.000	0.000	0.287	0.000	0.000	0.000	0.000	0.034	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000
apple	0.000	0.000	0.129	0.078	0.000	0.113	0.000	1.000	0.000	0.000	0.034	0.182	0.457	0.000	0.000	0.000	0.077	0.045	0.442	0.026	0.000	0.095	0.069	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.197	0.000	0.000	0.000	0.000	0.023	0.000	0.274	0.000	0.000	0.000	0.049	0.000	0.102	0.000	0.000	0.000	0.000	0.362	0.000	0.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.132	0.000	0.079	0.000	0.000	0.026	0.015	0.174	0.000	0.231	0.000	0.000	0.045	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.193	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.521	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.034	0.000	0.000	0.025	0.049	0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.019	0.665	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.302	0.000	0.080	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.191	0.493	0.020	0.000	0.075	0.000	0.000	0.000	0.031	0.259	0.000	0.000	0.000	0.016	0.000	0.103	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.018	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.027	0.000	0.028	0.000	0.000	0.000	0.177	0.000	0.000
apron	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	1.000	0.247	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.145	0.039	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.067	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.025	0.020	0.000	0.000	0.075	0.000	0.000	0.000	0.018	0.000	0.104	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.133	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.018	0.000	0.105	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.026	0.071	0.000	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.032	0.000	0.036	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000
armour	0.000	0.091	0.000	0.000	0.377	0.030	0.000	0.000	0.247	1.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.238	0.000	0.163	0.000	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.048	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.244	0.000	0.000	0.073	0.103	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.077	0.000	0.129	0.167	0.000	0.000	0.095	0.179	0.322	0.000	0.000	0.095	0.076	0.000	0.149	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.302	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.075	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.362	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.225	0.000	0.000	0.000	0.000	0.195	0.096	0.000	0.000	0.000	0.117	0.000	0.000	0.000	0.269	0.243	0.072	0.000	0.320	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.262	0.000	0.000	0.000	0.000	0.426	0.036	0.000	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.116	0.000	0.078	0.000	0.000	0.000	0.000	0.194	0.141	0.000	0.073	0.034	0.000	0.021	0.066	0.067	0.000	0.000	0.000	0.087	0.000	0.000	0.000	0.081	0.000	0.061	0.000	0.000
