block_ix,trial_ix,cue_type,is_cue_valid,is_cue_masked,up_pic,mask_type,cue,cue_id,cue_version,cue_file,pic,pic_id,pic_file
-1,-10,valid,1,1,left,visual,strawberry,220,3,strawberry_3.wav,strawberry,220,strawberry.bmp
-1,-9,valid,1,1,right,visual,kangaroo,126,1,kangaroo_1.wav,kangaroo,126,kangaroo.bmp
-1,-8,valid,1,1,left,visual,dog,73,2,dog_2.wav,dog,73,dog.bmp
-1,-7,valid,1,0,left,nomask,pineapple,173,3,pineapple_3.wav,pineapple,173,pineapple.bmp
-1,-6,valid,1,0,left,nomask,bee,23,1,bee_1.wav,bee,23,bee.bmp
-1,-5,nocue,-1,0,right,nomask,noise,-1,1,noise.wav,swan,223,swan.bmp
-1,-4,nocue,-1,1,left,visual,noise,-1,1,noise.wav,zebra,260,zebra.bmp
-1,-3,nocue,-1,1,left,visual,noise,-1,1,noise.wav,piano,171,piano.bmp
-1,-2,nocue,-1,0,right,nomask,noise,-1,1,noise.wav,tomato,236,tomato.bmp
-1,-1,nocue,-1,0,left,nomask,noise,-1,1,noise.wav,lion,140,lion.bmp
0,0,valid,1,1,right,visual,bee,23,3,bee_3.wav,bee,23,bee.bmp
0,1,valid,1,1,right,auditory,piano,171,3,piano_3.wav,piano,171,piano.bmp
0,2,invalid,0,0,left,nomask,piano,171,4,piano_4.wav,tomato,236,tomato.bmp
0,3,nocue,-1,1,left,auditory,noise,-1,1,noise.wav,pineapple,173,pineapple.bmp
0,4,nocue,-1,1,left,auditory,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,5,valid,1,0,left,nomask,zebra,260,4,zebra_4.wav,zebra,260,zebra.bmp
0,6,nocue,-1,1,left,auditory,noise,-1,1,noise.wav,strawberry,220,strawberry.bmp
0,7,valid,1,1,right,visual,swan,223,1,swan_1.wav,swan,223,swan.bmp
0,8,valid,1,0,right,nomask,kangaroo,126,3,kangaroo_3.wav,kangaroo,126,kangaroo.bmp
0,9,valid,1,0,right,nomask,bee,23,2,bee_2.wav,bee,23,bee.bmp
