subj_id,seed,date,computer,block,block_type,trial,cue,cue_type,mask_type,response_type,target,distractor,target_loc,response,rt,is_correct
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,1,zebra,,mask,word,zebra,raccoon,left,timeout,1500.0,0
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,2,strawberry,valid,nomask,pic,strawberry,,left,left,676.844753558,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,3,snowman,valid,mask,pic,snowman,,left,left,661.608511815,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,4,raccoon,valid,mask,pic,raccoon,,right,right,737.385127926,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,5,zebra,valid,nomask,pic,zebra,,left,left,627.16372218,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,6,piano,invalid,nomask,pic,wine_glass,,left,timeout,1500.0,0
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,7,raccoon,,nomask,word,raccoon,piano,right,right,770.627022488,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,8,table,valid,nomask,pic,table,,left,left,533.745714696,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,9,camel,invalid,mask,pic,swan,,left,left,961.12069604,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,10,piano,invalid,nomask,pic,wine_glass,,left,left,631.794771878,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,11,skunk,valid,mask,pic,skunk,,left,left,720.291408943,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,-1,practice,12,mouse,valid,mask,pic,mouse,,left,left,499.291002518,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,14,chair,valid,mask,pic,chair,,left,left,502.427235711,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,15,table,valid,mask,pic,table,,left,left,433.126662392,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,16,dog,invalid,mask,pic,zebra,,left,left,541.872457135,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,17,tomato,,mask,word,tomato,gorilla,left,left,543.313818751,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,18,alligator,valid,mask,pic,alligator,,right,right,540.78415432,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,19,grasshopper,valid,mask,pic,grasshopper,,left,left,581.20116638,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,20,elephant,valid,nomask,pic,elephant,,left,left,480.064209783,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,21,piano,,nomask,word,piano,alligator,left,left,416.386642028,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,22,pear,invalid,nomask,pic,pig,,left,left,518.457618542,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,23,raccoon,,nomask,word,raccoon,bee,left,left,617.017217446,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,24,raccoon,invalid,nomask,pic,apple,,left,left,450.987314805,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,25,rhinoceros,valid,nomask,pic,rhinoceros,,right,right,933.731310768,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,26,grasshopper,,mask,word,grasshopper,strawberry,left,left,581.151232356,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,27,giraffe,invalid,mask,pic,gorilla,,right,right,662.309186999,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,28,penguin,invalid,nomask,pic,pear,,right,right,624.966310803,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,29,bottle,,nomask,word,bottle,giraffe,right,right,605.392221129,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,30,tiger,valid,nomask,pic,tiger,,left,left,573.561599711,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,31,elephant,valid,mask,pic,elephant,,left,left,494.372193236,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,32,skunk,,mask,word,skunk,strawberry,right,right,456.131787039,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,33,alligator,,nomask,word,alligator,lion,left,left,678.58059681,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,34,zebra,valid,mask,pic,zebra,,right,right,455.643971451,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,35,elephant,valid,nomask,pic,elephant,,right,right,458.434828324,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,36,bee,valid,nomask,pic,bee,,right,right,559.164631413,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,37,chair,valid,mask,pic,chair,,left,left,451.953023905,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,38,chicken,valid,nomask,pic,chicken,,right,right,419.688681373,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,39,pear,invalid,nomask,pic,tiger,,left,left,573.487658985,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,40,zebra,valid,mask,pic,zebra,,right,right,390.229919925,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,41,pig,valid,nomask,pic,pig,,left,left,508.039358305,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,42,zebra,valid,mask,pic,zebra,,right,right,411.742148921,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,43,tiger,valid,nomask,pic,tiger,,right,right,467.581054661,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,44,zebra,,mask,word,zebra,leopard,right,right,780.104861129,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,45,giraffe,,mask,word,giraffe,apple,right,right,530.841546366,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,46,skunk,invalid,nomask,pic,grasshopper,,right,right,693.419928197,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,47,kangaroo,valid,mask,pic,kangaroo,,right,right,455.486487364,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,48,bottle,valid,nomask,pic,bottle,,left,left,672.342380276,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,49,tomato,,nomask,word,tomato,table,left,left,558.882312849,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,50,chicken,valid,mask,pic,chicken,,left,left,478.827705607,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,51,piano,valid,mask,pic,piano,,left,left,469.218950486,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,52,penguin,valid,nomask,pic,penguin,,right,right,479.382419959,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,53,gorilla,,mask,word,gorilla,bee,left,left,477.961864555,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,54,saltshaker,valid,mask,pic,saltshaker,,right,right,417.899382999,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,55,chicken,valid,mask,pic,chicken,,left,left,512.728343485,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,56,mouse,valid,nomask,pic,mouse,,right,right,498.503263341,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,57,apple,invalid,nomask,pic,wine_glass,,left,left,539.284856757,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,58,heart,valid,nomask,pic,heart,,left,left,549.005643232,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,59,grasshopper,,mask,word,grasshopper,rabbit,left,left,508.507968625,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,60,piano,,nomask,word,piano,apple,right,right,554.601120995,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,61,dog,valid,nomask,pic,dog,,left,left,486.285461811,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,62,leopard,invalid,nomask,pic,pear,,right,right,762.089925818,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,63,alligator,,nomask,word,alligator,camel,right,right,478.541225893,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,64,bee,valid,nomask,pic,bee,,left,left,618.625345407,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,65,mouse,valid,nomask,pic,mouse,,left,left,605.247861007,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,66,gorilla,valid,nomask,pic,gorilla,,left,left,671.173094539,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,67,deer,valid,nomask,pic,deer,,right,right,579.932333203,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,68,pineapple,,nomask,word,pineapple,bee,left,left,782.464238117,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,69,bee,valid,nomask,pic,bee,,right,right,538.46894973,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,70,lion,valid,mask,pic,lion,,left,left,534.259137698,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,71,swan,valid,mask,pic,swan,,right,right,598.586806562,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,72,elephant,valid,mask,pic,elephant,,left,left,588.775115088,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,73,leopard,valid,mask,pic,leopard,,right,right,580.005313503,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,74,gorilla,invalid,nomask,pic,bee,,right,right,662.311427528,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,0,test,75,giraffe,valid,mask,pic,giraffe,,left,left,478.044127347,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,77,tomato,valid,mask,pic,tomato,,left,left,518.014935311,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,78,dog,,mask,word,dog,skunk,right,right,548.753092764,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,79,rabbit,valid,nomask,pic,rabbit,,right,right,477.814303478,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,80,penguin,valid,nomask,pic,penguin,,right,right,535.569902742,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,81,alligator,invalid,nomask,pic,skunk,,left,left,679.488689639,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,82,gorilla,valid,mask,pic,gorilla,,right,right,409.081568243,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,83,raccoon,valid,mask,pic,raccoon,,right,right,492.874496151,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,84,swan,,nomask,word,swan,bee,right,right,540.341471089,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,85,heart,valid,mask,pic,heart,,left,left,462.401372613,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,86,penguin,invalid,mask,pic,mouse,,left,left,528.079177253,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,87,chicken,,nomask,word,chicken,camel,right,right,574.583324138,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,88,kangaroo,valid,mask,pic,kangaroo,,left,left,687.543412205,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,89,piano,valid,nomask,pic,piano,,left,left,561.492319452,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,90,chair,valid,mask,pic,chair,,right,right,580.225854879,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,91,giraffe,valid,nomask,pic,giraffe,,right,right,508.039358305,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,92,bee,valid,nomask,pic,bee,,left,left,487.720741425,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,93,elephant,valid,nomask,pic,elephant,,left,left,549.656384392,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,94,chair,invalid,mask,pic,saltshaker,,left,left,577.27719401,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,95,bee,valid,nomask,pic,bee,,right,right,644.030498108,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,96,tree,valid,nomask,pic,tree,,right,right,724.711839808,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,97,mouse,valid,mask,pic,mouse,,left,left,576.612048782,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,98,skunk,,mask,word,skunk,rabbit,right,right,536.116294796,1
MOW203,203,2015_Nov_19_1426,LL-ELAINE,1,test,99,mouse,,mask,word,mouse,pear,right,right,617.897462565,1
