num,concept,H_line,H_gray,H_color,acc_line,acc_gray,acc_color,rt_line,rt_gray,rt_color
1,accordion,0,0,0,100,100,100,860,925,905
2,airplane,0,0,0,100,100,100,660,678,661
3,alligator,0.53,0.95,0.71,88,63,81,1089,1122,876
4,anchor,0,0,0,100,100,100,1199,988,943
5,ant,0,0,0,100,100,100,1474,1448,1062
6,apple,1.17,0.98,0.93,67,59,65,917,900,908
7,arm,0,0,0,100,100,100,973,1106,911
8,arrow,1.37,1.37,1.56,65,68,47,918,869,837
9,artichoke,1.86,1.71,1.44,36,60,44,1185,1201,1005
10,ashtray,1.29,1,1.39,53,47,58,1167,1038,914
11,asparagus,0,0,0,100,100,100,1553,1436,1255
12,axe,0,0,0,100,100,100,1073,1252,864
13,baby carriage,0,0,0,100,100,100,964,975,875
14,ball,0.68,0.65,0.5,82,83,89,787,721,762
15,balloon,0.81,0.29,0.63,83,95,84,1051,775,688
16,banana,0,0,0,100,100,100,733,719,639
17,barn,0,0,0,100,100,100,1788,,1272
18,barrel,0,0,0,100,100,100,834,892,861
19,baseball bat,0,0,0,100,100,100,1056,1196,1104
20,basket,0,0,0,100,100,100,747,782,778
21,bear,0,0,0,100,100,100,882,896,912
22,bed,0,0.29,0,100,95,100,700,710,727
23,bee,0,0,0,100,100,100,1476,1507,1612
24,beetle,0.29,0,0,95,100,100,2537,1018,1117
25,bell,0,0.29,0,100,95,100,818,776,732
26,belt,1.35,0.81,1.01,60,75,74,834,837,801
27,bicycle,0.63,0,0.29,89,100,95,774,760,661
28,bird,0.29,0.29,0,95,95,100,997,988,1035
29,blouse,0.5,0.59,0.61,89,89,85,1259,1133,1959
30,book,0,0,0,100,100,100,708,823,730
31,boot,0,0.29,0,100,95,100,955,1104,963
32,bottle,0,0,0,100,100,100,746,918,748
33,bow,0.29,0,0,95,100,100,799,783,779
34,bowl,0,0,0,100,100,100,981,1044,1001
35,box,0.58,0.32,0.32,90,94,94,1060,1032,842
36,bread,0.32,0.64,0.64,94,88,88,940,1038,921
37,broom,0,0,0,100,100,100,857,918,767
38,brush,0,1.62,1.06,100,64,73,765,782,734
39,bus,0,0,0,100,100,100,904,1043,797
40,butterfly,0,0,0,100,100,100,777,731,678
41,button,1.58,1.4,0.32,54,63,94,1289,1130,1251
42,cake,0.32,0,0,94,100,100,785,795,672
43,camel,0.32,0.32,0,94,94,100,1023,867,980
44,candle,1.92,0.88,1.59,38,70,33,827,751,772
45,cannon,0,0,0.29,100,100,95,1002,1133,1041
46,cap,0,0,0,100,100,100,875,849,843
47,car,0.87,0.61,0.75,84,85,85,710,736,718
48,carrott,0,0,0,100,100,100,685,780,622
49,cat,0,0,0,100,100,100,736,734,683
50,caterpillar,0,0.47,0.47,100,90,90,1087,1034,872
51,celery,0.43,0.64,0.43,91,88,91,1313,1461,1622
52,chain,0,0.5,0.29,100,89,95,956,940,834
53,chair,0.29,0,0,95,100,100,701,743,644
54,cherry,0.29,0,0,95,100,100,974,1107,849
55,chicken,0.32,0,0,94,100,100,768,788,731
56,chisel,0,0,0,100,100,100,1952,1342,1109
57,church,1.49,0.93,0.83,50,65,74,821,858,728
58,cigar,0,0,0,100,100,100,1154,1067,893
59,cigarette,0.29,0,0.5,95,100,89,842,855,795
60,clock,0,0,0,100,100,100,932,865,946
61,clothespin,0,0,0,100,100,100,976,913,913
62,cloud,0,0,0,100,100,100,1542,1155,1040
63,clown,1.18,1.16,0.64,74,65,88,856,819,766
64,coat,0.5,0.29,0.29,89,95,95,907,801,662
65,comb,1.39,1.48,1.36,58,50,60,748,733,720
66,corn,0.74,0.64,0.5,79,88,89,872,976,774
67,couch,1.23,0.97,1.49,53,60,63,1002,1198,822
68,cow,0.97,0.92,0,79,80,100,1114,1044,945
69,crown,1.86,0.73,1.3,59,86,60,1001,1051,884
70,cup,0.83,0.72,0.61,74,80,85,690,749,666
71,deer,0.61,0.59,0,85,89,100,1286,1224,1070
72,desk,0,0,0,100,100,100,986,984,910
73,dog,0.59,0,0,89,100,100,650,704,668
74,doll,0,0,0,100,100,100,1005,1073,827
75,donkey,0.94,0.37,0.96,79,93,77,989,913,796
76,door,2.44,2.15,1.5,29,44,53,699,745,701
77,doorknob,0,0.37,0,100,93,100,1697,1619,1274
78,dress,1.59,1,1.54,33,50,38,996,776,760
79,dresser,0.63,0.47,0.72,84,90,80,913,1123,1273
80,drum,0,0,0,100,100,100,816,844,797
81,duck,0,0.32,0,100,94,100,1224,1031,991
82,eagle,0.75,0.32,0.5,85,94,89,1168,1128,1025
83,ear,0,0,0,100,100,100,656,695,640
84,elephant,0,0,0,100,100,100,658,657,644
85,envelope,1,1.46,0.98,53,53,59,744,706,654
86,eye,0,0,0,100,100,100,669,735,615
