num,concept,image_line_mean,image_gray_mean,image_color_mean,image_line_sd,image_gray_sd,image_color_sd
1,accordion,3.55,3.75,3.33,1.04,0.57,1.33
2,airplane,4,4.17,3.75,1,0.52,0.93
3,alligator,4.36,4.67,4.5,1.21,0.24,0.64
4,anchor,4.45,4.25,4.42,0.82,1.48,1.54
5,ant,3.91,4.08,4.67,1.22,0.99,0.24
6,apple,4,4.33,3.42,1.1,0.79,0.99
7,arm,4,4.33,3.92,1.34,0.79,0.63
8,arrow,3.36,1.67,2.17,1.43,0.97,2.52
9,artichoke,3.45,4.18,4.17,1.81,1.96,2.33
10,ashtray,3.45,3.83,3.42,1.04,0.33,1.36
11,asparagus,3.55,3.42,4.17,1.04,1.36,0.52
12,axe,4.27,4.08,4.42,1.19,0.81,0.81
13,baby carriage,3.73,3.58,3.17,1.1,0.81,1.24
14,ball,2.09,2.08,2.33,1.14,0.81,2.24
15,balloon,2,2.08,1.75,1.55,2.27,1.48
16,banana,4.36,4.83,4.92,0.81,0.15,0.08
17,barn,2.64,3.08,2.67,1.03,1.72,1.7
18,barrel,4.18,4.5,4.92,0.98,0.82,0.08
19,baseball bat,4.64,4.67,4.92,0.92,0.24,0.08
20,basket,3.18,2.83,3,0.98,1.06,1.82
21,bear,4.55,3.83,4.58,0.52,1.24,1.36
22,bed,3.18,3.25,3,1.08,0.93,1.64
23,bee,3.36,2.67,2.92,1.12,1.15,0.45
24,beetle,3.73,3.42,2.92,1.27,1.72,1.54
25,bell,3.82,3.75,3.83,1.33,0.57,1.24
26,belt,4.27,4.33,4.5,1.1,0.42,0.27
27,bicycle,3.45,3.92,3.75,1.21,0.63,0.75
28,bird,3.36,3.33,2.83,1.57,1.15,1.24
29,blouse,3.45,2.17,2.25,1.37,0.88,1.3
30,book,4.27,4.42,3.75,0.9,0.27,0.93
31,boot,2.91,2.08,2.42,1.3,1.36,2.45
32,bottle,3.64,3.75,3.75,1.21,1.11,0.39
33,bow,3.2,2.17,2.75,1.81,2.7,2.93
34,bowl,3.82,3.67,3.17,0.75,1.15,1.24
35,box,3.73,3.67,3.25,1.01,0.97,1.11
36,bread,4,3.58,4.08,1.41,0.63,0.81
37,broom,3.36,3.08,3.67,1.21,2.27,1.52
38,brush,2.55,2.58,2.75,1.04,2.08,1.66
39,bus,3.82,3.75,4.08,1.08,1.11,0.45
40,butterfly,4.27,4.33,3.25,0.79,0.42,1.66
41,button,4.27,4,4,1.27,2.18,1.45
42,cake,2.91,3.08,2.67,1.45,1.72,1.7
43,camel,3.82,3.75,3.17,1.33,2.2,2.88
44,candle,4,3.92,3.92,1.26,0.99,0.45
45,cannon,3.64,4.08,4.08,1.21,0.81,0.63
46,cap,2.27,2.08,2.42,0.79,1.36,1.72
47,car,3,2.83,2.92,1.1,1.42,1.9
