num,concept,diagnostic
1,accordion,2.273
2,airplane,2.727
3,alligator,4.545
4,anchor,4.455
5,ant,4.091
6,apple,3.455
7,arm,4.091
8,arrow,1.091
9,artichoke,4.818
10,ashtray,1.545
11,asparagus,4.455
12,axe,4
13,baby carriage,1.455
14,ball,1
15,balloon,1.364
16,banana,4.818
17,barn,4.091
18,barrel,4.364
19,baseball bat,3.727
20,basket,3.364
21,bear,3.727
22,bed,1.545
23,bee,4.455
24,beetle,4.273
25,bell,3.727
26,belt,3
27,bicycle,1.818
28,bird,2
29,blouse,1
30,book,1.818
31,boot,2.364
32,bottle,2.818
33,bow,1.364
34,bowl,1.091
35,box,1.182
36,bread,4.273
37,broom,2.909
38,brush,2.091
39,bus,2.364
40,butterfly,1.364
41,button,1
42,cake,1.636
43,camel,4.545
44,candle,1.545
45,cannon,3.636
46,cap,1.636
47,car,1.636
48,carrott,5
49,cat,2.636
50,caterpillar,3
51,celery,4.818
52,chain,3.636
53,chair,2.636
54,cherry,4.727
55,chicken,3.636
56,chisel,3.545
57,church,2.727
58,cigar,4.909
59,cigarette,4.818
60,clock,2.182
61,clothespin,1.818
62,cloud,3.909
63,clown,2.909
64,coat,1.182
65,comb,1.6
66,corn,4.909
67,couch,1.091
68,cow,3.182
69,crown,3.455
70,cup,1.455
71,deer,4.727
72,desk,2.091
73,dog,2.909
74,doll,1.636
75,donkey,4.455
76,door,2
77,doorknob,2.455
78,dress,1
79,dresser,3.364
80,drum,2.182
81,duck,3.182
82,eagle,4.273
83,ear,4.182
84,elephant,4.727
85,envelope,3.455
86,eye,2.636
87,fence,3.091
88,finger,4.091
89,fish,1.818
90,flag,1
91,flower,1.273
92,flute,3.364
93,fly,4.455
94,foot,4.091
95,football,3.545
96,football helmet,1.182
97,fork,4.091
98,fox,4.364
99,french horn,4.273
100,frog,4.091
101,frying pan,3
102,garbage can,2.636
103,giraffe,4.545
104,glass,3.636
105,glasses,2.273
106,gloves,1.364
107,goat,3.727
108,gorilla,4.545
109,grapes,3.636
110,grasshopper,4.455
111,guitar,3.636
112,gun,4.182
113,hair,2.727
114,hammer,3.364
115,hand,4.182
116,hanger,2.909
117,harp,4.455
118,hat,1.818
119,heart,5
120,helicopter,2
121,horse,3.545
122,house,2.364
123,iron,2.364
124,ironing board,1.455
125,jacket,1.273
126,kangaroo,4.727
127,kettle,3
128,key,4.273
129,kite,1.182
130,knife,3.182
131,ladder,3.364
132,lamp,1.364
133,leaf,3.182
134,leg,4.091
135,lemon,4.545
136,leopard,4.818
137,lettuce,4.636
138,lightbulb,3.818
139,light switch,2.727
140,lion,4.545
141,lips,4.455
142,lobster,4.727
143,lock,3.364
144,mitten,1
145,monkey,3.545
146,moon,4.636
147,motorcycle,1.545
148,mountain,3.455
149,mouse,4.364
150,mushroom,2.545
151,nail,4.455
152,nail file,3.545
153,necklace,1.818
154,needle,4.091
155,nose,4.182
156,nut,4.455
157,onion,4.455
158,orange,4.909
159,ostrich,4.273
160,owl,3.818
161,paintbrush,2.818
162,pants,1.364
163,peach,4.273
164,peacock,3.727
165,peanut,5
166,pear,4.182
167,pen,1.091
168,pencil,1.909
169,penguin,5
170,pepper,3.273
171,piano,3.727
172,pig,4.455
173,pineapple,4.727
174,pipe,3.091
175,pitcher,2.364
176,pliers,3.636
177,plug,3
178,pocketbook,1.091
179,pot,2.636
180,potato,4.545
181,pumpkin,4.909
182,rabbit,3.545
183,raccoon,4.545
184,record player,2.455
185,refrigerator,3.455
186,rhinoceros,4.909
187,ring,2.818
188,rocking chair,3.364
189,roller skate,2.182
190,rolling pin,3.455
191,rooster,3.818
192,ruler,2.182
193,sailboat,2.727
194,saltshaker,2.909
195,sandwich,3.545
196,saw,3.727
197,scissors,3.727
198,screw,4.455
199,screwdriver,3
200,sea horse,4.091
201,seal,4.091
202,sheep,4.091
203,shirt,1.182
204,shoe,2.091
205,skirt,1
206,skunk,4.909
207,sled,2.545
208,snail,3.727
209,snake,2.909
210,snowman,4.818
211,socks,1
212,spider,3.364
213,spinning wheel,4.545
214,spool of thread,1.182
215,spoon,4
216,squirrel,4.273
217,star,4.182
218,stool,2.545
219,stove,3.455
220,strawberry,4.636
221,suitcase,1.636
222,sun,4.727
223,swan,4.818
224,sweater,1
225,swing,2.636
226,table,3
227,telephone,1.909
228,television,3.091
229,tennis racket,1.818
230,thimble,4
231,thumb,4
232,tie,1.182
233,tiger,4.455
234,toaster,2.364
235,toe,4.182
236,tomato,4.636
237,toothbrush,1.182
238,top,1.091
239,traffic lights,4.636
240,train,2.727
241,tree,3.909
242,truck,1.273
243,trumpet,4.455
244,turtle,4.091
245,umbrella,1.182
246,vase,1.182
247,vest,1.636
248,violin,4.364
249,wagon,1.909
250,watch,1.909
251,watering can,2.182
252,watermelon,4.727
253,well,3.273
254,wheel,3.545
255,whistle,3.182
256,windmill,3.182
257,window,3.091
258,wine glass,4
259,wrench,4.818
260,zebra,5
