num,concept,familiarity_line_mean,familiarity_gray_mean,familiarity_color_mean,familiarity_line_sd,familiarity_gray_sd,familiarity_color_sd
1,accordion,2.35,2.24,2.06,1.24,0.82,0.56
2,airplane,3.82,3.65,3.59,1.28,1.49,1.13
3,alligator,1.82,1.76,1.94,1.03,0.82,0.56
4,anchor,2.29,2.12,2.24,1.1,0.99,0.94
5,ant,3,2.88,2.71,1.13,1.11,0.97
6,apple,4.71,4.47,4.59,0.47,0.39,0.38
7,arm,4.82,4.65,4.76,0.15,0.37,0.32
8,arrow,4.12,3.94,3.76,1.11,1.43,0.94
9,artichoke,2.76,2.82,2.88,1.07,0.9,0.86
10,ashtray,3.76,3.71,4.29,2.07,1.97,0.72
11,asparagus,2.76,2.41,2.82,1.19,1.13,0.65
12,axe,2.88,2.82,2.47,1.61,2.03,0.64
13,baby carriage,3.41,3.18,3.59,1.63,0.9,0.51
14,ball,3.59,3.94,3.94,2.13,0.93,0.43
15,balloon,3.53,3.53,3.29,1.51,1.51,0.97
16,banana,4.53,4.53,4.29,0.76,0.39,0.47
17,barn,2.82,2.65,2.35,1.28,1.74,0.99
18,barrel,2.71,2,2.12,1.72,1,0.74
19,baseball bat,2.76,3.06,2.18,1.07,1.93,1.15
20,basket,3.18,3.12,2.65,1.78,1.74,0.74
21,bear,2.06,2.18,1.94,1.43,0.9,0.56
22,bed,5,4.76,4.88,0,0.19,0.11
23,bee,2.94,2.35,2.29,1.56,0.99,0.97
24,beetle,1.41,1.82,1.88,0.63,0.78,0.49
25,bell,3.18,3.12,2.59,1.53,1.36,0.76
26,belt,4.65,4.24,4.12,0.62,0.94,0.74
27,bicycle,4.35,4.29,4.24,1.24,0.47,0.57
28,bird,4.35,4.12,3.76,1.24,0.61,1.07
29,blouse,4.53,4,3.94,0.64,1.13,1.06
30,book,5,4.76,4.76,0,0.19,0.19
31,boot,3.71,3.53,3.47,1.85,1.76,1.51
32,bottle,4.82,4.53,4.65,0.28,0.39,0.37
33,bow,2.88,2.76,2.53,2.36,1.32,1.39
34,bowl,4.47,4.35,4,0.51,0.74,1.5
35,box,3.71,3.94,3.65,0.97,0.68,1.12
36,bread,4.88,4.71,4.82,0.24,0.22,0.15
37,broom,3.47,3.35,3.41,1.51,1.99,0.76
38,brush,4.35,4.06,4.24,1.37,1.06,0.69
39,bus,4.41,4.12,4.18,0.76,0.74,0.65
40,butterfly,3.59,3.59,3.12,1.26,0.51,0.61
41,button,4.47,4.12,4.18,0.51,0.99,0.9
42,cake,4,4.18,4.24,1.5,0.65,0.44
43,camel,2.06,2.29,1.88,1.43,1.1,0.49
44,candle,4.12,3.71,4.12,1.11,1.22,0.74
45,cannon,1.71,1.71,1.65,0.97,0.85,0.74
46,cap,3.41,3.18,2.82,1.38,1.78,0.9
47,car,4.76,4.71,4.29,0.32,0.22,0.85
48,carrott,4.35,3.82,4,0.87,1.15,0.75
49,cat,4.47,4.65,4.35,1.39,0.24,0.87
50,caterpillar,2.47,1.94,2.24,0.89,0.81,0.82
51,celery,3.06,2.94,3.06,1.68,0.81,1.31
52,chain,3.47,2.76,2.29,1.39,0.82,0.6
53,chair,5,5,5,0,0,0
54,cherry,3.71,4.06,3.53,1.1,0.93,0.64
55,chicken,3.82,3.71,3.53,1.78,0.85,0.64
56,chisel,2.06,1.76,2.06,1.26,0.69,0.68
57,church,4.29,3.88,3.76,0.85,1.11,1.32
58,cigar,2.76,2.53,3,1.19,1.26,1
59,cigarette,4.65,4.29,4.65,0.37,0.72,0.37
60,clock,4.24,4.12,3.82,1.07,1.11,1.53
61,clothespin,4.12,3.88,3.82,1.36,0.74,0.4
62,cloud,2.18,1.75,3.29,3.15,1.27,2.35
63,clown,2.59,3,2.71,1.63,0.88,0.72
64,coat,4.65,4.06,3.76,0.37,0.68,0.69
65,comb,4.35,4,4.12,0.74,1.38,1.36
66,corn,3,3.24,2.82,2.27,0.82,0.65
67,couch,4.44,4.47,4.65,1.86,0.51,0.37
68,cow,3.94,4.06,3.24,1.31,0.43,1.07
69,crown,2.47,1.76,2.12,1.14,0.94,0.61
70,cup,4.82,4.47,4.59,0.28,0.64,0.38
71,deer,2.41,2.53,2.41,2.01,1.14,0.51
72,desk,4.47,4.71,4.71,0.89,0.35,0.35
73,dog,4.71,4.65,4.41,0.47,0.62,0.38
74,doll,3.88,3.53,2.94,1.86,1.01,0.81
75,donkey,3,3.06,2.71,1.63,1.18,0.72
76,door,5,4.76,4.82,0,0.57,0.15
77,doorknob,4.12,4.24,4.29,1.61,0.82,1.47
78,dress,4.24,3.65,4.12,1.07,1.24,0.86
79,dresser,4.47,4.18,4.47,1.14,0.9,0.51
80,drum,2.59,2.71,2.18,1.13,1.72,1.28
81,duck,3.65,3.47,3.59,1.37,0.89,0.51
82,eagle,2.18,2.29,1.82,1.28,1.22,0.9
83,ear,4.88,4.82,4.76,0.24,0.15,0.19
84,elephant,2,2.29,2.41,1.5,1.1,0.88
85,envelope,4.41,4.41,4.29,1.38,0.51,0.6
86,eye,4.88,4.76,4.82,0.11,0.32,0.15
87,fence,3.76,3.41,3.18,1.19,0.76,0.78
88,finger,5,4.47,4.94,0,0.89,0.06
89,fish,3.53,3.47,3.18,1.26,1.51,0.9
90,flag,3.06,3.18,2.35,1.43,1.53,0.49
91,flower,4.59,4.53,4.29,1.01,0.39,0.47
92,flute,1.06,2.47,2.35,0.06,1.14,1.37
93,fly,3.65,3.59,3.47,1.37,1.01,1.01
94,foot,4.88,4.53,4.88,0.24,0.64,0.11
95,football,2.35,2,1.76,1.37,0.88,0.69
96,football helmet,1.94,2.29,2.24,1.06,1.72,0.94
97,fork,4.94,4.82,4.88,0.06,0.15,0.11
98,fox,2.53,2.35,2.35,1.51,0.99,0.99
