"subj_id","block_ix","trial_ix","cue","cue_type","cue_l","cue_q","mask_type","mask_c","mask_m","mask_r","pic","up_pic","response","rt","is_correct","is_error"
"MWP501",0,0,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"elephant","left","left",494.914779672,1,0
"MWP501",0,1,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"leopard","left","left",414.629010716,1,0
"MWP501",0,2,"raccoon","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"raccoon","right","right",396.907652728,1,0
"MWP501",0,3,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"chair","left","left",339.876292041,1,0
"MWP501",0,4,"raccoon","valid",-0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"raccoon","left","left",474.32941501,1,0
"MWP501",0,5,"penguin","valid",-0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"penguin","left","left",403.863153188,1,0
"MWP501",0,6,"chair","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"chair","right","right",347.564463504,1,0
"MWP501",0,7,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"elephant","right","right",362.397639547,1,0
"MWP501",0,8,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"raccoon","left","left",362.23932961,1,0
"MWP501",0,9,"rabbit","invalid",0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"chair","left","left",368.979590945,1,0
"MWP501",0,10,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"gorilla","left","left",343.879272696,1,0
"MWP501",0,11,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"leopard","right","right",334.813882597,1,0
"MWP501",0,12,"chair","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"chair","right","right",305.923873093,1,0
"MWP501",0,13,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"leopard","right","right",529.666546965,1,0
"MWP501",0,14,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"donkey","right","right",457.090785494,1,0
"MWP501",0,15,"gorilla","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"gorilla","right","right",407.302690437,1,0
"MWP501",0,16,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"donkey","left","left",503.023291472,1,0
"MWP501",0,17,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"penguin","right","right",389.309943886,1,0
"MWP501",0,18,"rabbit","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"rabbit","left","right",NA,0,1
"MWP501",0,19,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"penguin","left","left",421.948702075,1,0
"MWP501",0,20,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"skunk","right","right",348.874225048,1,0
"MWP501",0,21,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"chair","right","right",371.835408965,1,0
"MWP501",0,22,"elephant","valid",-0.5,-0.333333333333333,"after",0.5,0.333333333333333,0.5,"elephant","left","left",375.104938867,1,0
"MWP501",0,23,"skunk","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"skunk","right","left",NA,0,1
"MWP501",0,24,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"gorilla","right","right",440.927181626,1,0
"MWP501",0,25,"raccoon","valid",-0.5,-0.333333333333333,"after",0.5,0.333333333333333,0.5,"raccoon","right","right",358.439890435,1,0
"MWP501",0,26,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"chicken","right","right",365.541223204,1,0
"MWP501",0,27,"leopard","invalid",0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"donkey","right","right",364.486473147,1,0
"MWP501",0,28,"penguin","invalid",0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"elephant","right","right",453.392336844,1,0
"MWP501",0,29,"rabbit","invalid",0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"raccoon","right","right",312.714044936,1,0
"MWP501",0,30,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"elephant","right","right",415.020886343,1,0
"MWP501",0,31,"chair","valid",-0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"chair","left","left",304.755264893,1,0
"MWP501",0,32,"chicken","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"chicken","right","right",566.592931515,1,0
"MWP501",0,33,"penguin","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"penguin","right","right",363.202446839,1,0
"MWP501",0,34,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"leopard","right","right",378.924654331,1,0
"MWP501",0,35,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"rabbit","right","right",313.743059989,1,0
"MWP501",0,36,"gorilla","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"gorilla","left","left",341.141602024,1,0
"MWP501",0,37,"donkey","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"donkey","right","right",345.887781819,1,0
"MWP501",0,38,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"leopard","left","left",380.022295984,1,0
"MWP501",0,39,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"skunk","left","left",378.946489887,1,0
"MWP501",0,40,"raccoon","invalid",0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"rabbit","left","left",615.403091768,1,0
"MWP501",0,41,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"raccoon","left","left",478.31484885,1,0
"MWP501",0,42,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"rabbit","right","right",334.041438997,1,0
"MWP501",0,43,"gorilla","valid",-0.5,-0.333333333333333,"after",0.5,0.333333333333333,0.5,"gorilla","right","right",356.994044734,1,0
"MWP501",0,44,"elephant","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"elephant","left","left",498.10281489,1,0
"MWP501",0,45,"elephant","invalid",0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"donkey","left","left",433.815710712,1,0
"MWP501",0,46,"elephant","valid",-0.5,-0.333333333333333,"during",0.5,0.333333333333333,-0.5,"elephant","right","right",383.657966275,1,0
"MWP501",0,47,"noise","noise",0,0.666666666666667,"during",0.5,0.333333333333333,-0.5,"raccoon","right","right",286.613566568,1,0
"MWP501",0,48,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"rabbit","right","right",389.309943886,1,0
"MWP501",0,49,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"elephant","right","right",365.089688916,1,0
"MWP501",0,50,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"rabbit","left","left",444.180334685,1,0
"MWP501",0,51,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"skunk","left","right",NA,0,1
"MWP501",0,52,"noise","noise",0,0.666666666666667,"nomask",-0.5,-0.666666666666667,0,"gorilla","right","right",434.780387906,1,0
"MWP501",0,53,"rabbit","valid",-0.5,-0.333333333333333,"nomask",-0.5,-0.666666666666667,0,"rabbit","left","left",348.164169816,1,0
"MWP501",0,54,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"donkey","right","right",379.021355882,1,0
"MWP501",0,55,"noise","noise",0,0.666666666666667,"after",0.5,0.333333333333333,0.5,"chair","left","left",307.541676331,1,0
"MWP501",0,56,"leopard","valid",-0.5,-0.333333333333333,"after",0.5,0.333333333333333,0.5,"leopard","left","left",376.681020018,1,0
